PER,A
33.884054,0.204929
3.2927809999999997,0.043316
2556.5,4.9058
410.1,1.1387200000000002
24.85462415,0.195757
64.2737752,0.316103
8.109044,0.07899260000000001
18.249000000000002,0.158693
857.5,1.66108
363.2,1.0238200000000002
12.31043,0.104341
0.93846683,0.0184414
1319.0,2.3791
7.542427,0.0752686
20.50586978,0.13438599999999998
51.1110243,0.270431
11.759,0.0980725
16.54297375,0.11988800000000001
47.1611696,0.25288299999999997
4.244383999999999,0.051303800000000004
157.54,0.595162
11.55102504,0.10164400000000001
4.17625551,0.048076999999999995
6.124821,0.0655142
8.600153599999999,0.0948432
0.9414529,0.020140099999999998
2730.0,4.6069
8.886593,0.0854177
29.393195000000002,0.186396
37.814451399999996,0.235594
5.370647,0.0600193
11.94014029,0.09490950000000001
5.12330347,0.0575745
0.89304124,0.0143082
1260.0,2.19849
528.40002,1.30958
2.260455,0.0214313
1.79111021,0.0291497
6.33855761,0.06702960000000001
2.27952666,0.031727899999999996
9.30412078,0.0786582
3658.0,4.75375
3.2588321,0.0421448
268.94,0.775866
577.9,1.48605
13.485,0.11445599999999999
4.069426999999999,0.0498841
16.08524954,0.11576800000000001
1035.7,2.07477
2068.0,3.18072
4.1137912000000005,0.0549707
0.8374950000000001,0.0167573
16.259458,0.125606
7.69993485,0.07631289999999999
25.262887,0.168498
99.74762199999999,0.423716
34.2685705,0.196353
623.8,1.41961
42.3633,0.246993
23.58447697,0.161485
18.794234,0.138343
13.563097199999998,0.11018
12.56093,0.105752
8.199796000000001,0.0738763
0.96286738,0.0184246
10.613839,0.0945195
4.22864,0.0511769
6.957999999999999,0.0715732
2.05333679,0.0328337
9.99761851,0.0902152
38.715185,0.22397199999999998
2.37030743,0.0340815
5.32786292,0.0600955
22.824669,0.157474
12.61190667,0.103131
3.56809693,0.0480157
9.62,0.0800702
350.3,1.04292
2.3826669999999996,0.034912599999999995
10.13389,0.06525689999999999
2.1061607,0.031676499999999996
105.9564148,0.418342
3.0927616,0.0384536
15.773822099999999,0.12933499999999998
4100.0,4.43476
3.735433,0.049935400000000005
10.338523,0.0882385
6.919797999999999,0.07106710000000001
38.6519976,0.216804
352.2,1.08217
54.15574300000001,0.280136
778.1,1.80892
2.57885507,0.0374071
5.99273738,0.06325080000000001
125.94,0.43663100000000005
1178.4,2.29553
9.32414,0.0747146
3.3118644,0.043641900000000004
21.853722,0.152976
10.02165,0.0946483
2.484193,0.037511199999999995
5.57654784,0.06503450000000001
3.936981,0.0487958
5.470319,0.0607596
493.7,1.1598700000000002
3.14945,0.028458999999999998
259.33682999999996,0.7878430000000001
3.38353807,0.042743300000000005
5.212333,0.05883390000000001
4.24153639,0.050936699999999994
8.10501635,0.08000560000000001
69.7546,0.370106
428.1,1.19471
4.6938,0.0386657
296.637865,0.8704780000000001
3.57554956,0.0430059
15.299000000000001,0.11343800000000001
11.6092567,0.09429789999999999
3.9516205,0.0528415
1749.83,2.85281
2.39984,0.0320135
6.388996,0.06738469999999999
4.496860400000001,0.0436851
3.7130203,0.0485382
14.20443009,0.109579
11.62905828,0.102102
2.5904434,0.035901999999999996
17.340823999999998,0.131115
45.902733000000005,0.250899
8.79617863,0.0860862
2.838971,0.038636199999999996
36.855,0.221683
2.79736,0.037927300000000004
49.567415999999994,0.264081
33.2406882,0.19534400000000002
20.74028413,0.146743
85.7565495,0.36192399999999997
3.00265,0.0403268
1.91694425,0.028495299999999998
469.63111,1.13739
2.1549099999999997,0.0351719
10.35584657,0.0837217
3.306539,0.0434366
9.289715,0.089107
1001.7,1.9372
875.5,2.099
8.180848,0.07945819999999999
5.91213,0.0581375
20.17202,0.14502400000000001
4.37034536,0.0521389
2.150008,0.03426269999999999
25.63058,0.125354
507.0,1.38575
3.1915426,0.047711199999999995
10.310824499999999,0.0914589
13.2217576,0.10365899999999999
1114.0,2.10235
37.993272999999995,0.221179
5.16950177,0.05909059999999999
4.44448017,0.0539414
179.612,0.6411899999999999
2.70730672,0.0406211
3.583893,0.0466748
96.16986999999999,0.376527
157.57,0.682908
9.024389,0.0848304
201.99,0.6893819999999999
2.49979,0.036300099999999995
13.5708,0.111348
4.754,0.0502736
31.806340000000002,0.182381
1084.5,2.80589
25.30292332,0.161025
12.757589999999999,0.104299
386.29999,1.06061
59.497095200000004,0.274559
1.97376093,0.0282249
95.2738,0.406991
937.7000099999999,1.72685
47.84,0.249018
16.32976218,0.123396
10.99469878,0.0863273
763.0,1.8026400000000002
10.054030000000001,0.0769351
26.84768,0.175473
10.29672521,0.0794059
13.32351601,0.116229
6.5623309999999995,0.06859810000000001
3.1186008999999997,0.0417858
2.240508,0.033509699999999996
689.0,1.48938
331.60059,0.996347
15.9654,0.12770399999999998
14.256322699999998,0.115827
22.08557563,0.12773299999999999
13.726976,0.11219900000000001
7.84931739,0.0762521
116.331901,0.451946
3.37796,0.0477869
2.0219596,0.0359649
4.19449651,0.040931800000000004
7.46725407,0.07967260000000001
15.79186,0.12318599999999999
0.78916165,0.014979399999999999
138.506,0.629412
17.326644,0.131044
39.792187,0.21202100000000002
8.02768059,0.0774029
931.0,2.03386
9.6737,0.08094370000000001
44.2008,0.228998
3.6623817,0.0534741
